Kalt Wal | Blau,Blume,kalt,Fröhlich,Pferd
Wütend Löwe | Klein,Schnell,löwe,Baum,wütend
Yoga | Vogel,yoga,Groß,Süß,Pferd
Grün Wal | Mond,Fisch,grün,Lustig,Wütend
Groß Pferd | Blau,Traurig,Mond,Rot,groß
Langsam Pferd | langsam,Langsam,Katze,Fröhlich,Süß
Fröhlich Wal | Blume,Vogel,fröhlich,Wolke,Hund
Zeitschrift | zeitschrift,Klein,Baum,Katze,Hund
Schnell Löwe | Wal,Blau,Grün,löwe,Baum
Lustig Hai | Löwe,Traurig,Mond,Wolke,hai
Brücke | Grün,Bär,Rot,Heiß,brücke
Kamera | Löwe,Blume,Klein,Bär,kamera
Lustig Katze | Schnell,Hai,Rot,Gruselig,katze
Groß Bär | Löwe,Grün,groß,bär,Fröhlich
Ingenieur | Blau,Blume,Grün,Schnell,ingenieur
Blau Bär | blau,Grün,Mond,Hai,Rot
Grün Wal | Wal,Baum,Kalt,Wolke,Fröhlich
Traurig Baum | traurig,Wal,Löwe,baum,Lustig
Langsam Sonne | Wal,Hund,Bär,langsam,Lustig
Wütend Mond | Löwe,Vogel,Stern,wütend,mond
Süß Fisch | Blau,Schnell,Fisch,süß,fisch
Langsam Mond | Klein,Vogel,Stern,langsam,Hai
Schnell Pferd | Blume,Baum,schnell,Fröhlich,Langsam
Lustig Fisch | Klein,Vogel,Bär,fisch,lustig
Lustig Stern | Bär,stern,Süß,Katze,Lustig
Kalt Fisch | Vogel,Grün,Bär,fisch,Gruselig
Wütend Wal | Blau,Klein,wütend,Kalt,Fröhlich
Traurig Sonne | traurig,Grün,Stern,Hai,Katze
Grün Sonne | Wal,Löwe,Klein,Sonne,grün
Groß Stern | Blume,Baum,Stern,stern,groß
Langsam Pferd | Traurig,langsam,Rot,Kalt,Fröhlich
Krankenhaus | Schnell,krankenhaus,Kalt,Wolke,Wütend
Lustig Vogel | Löwe,Traurig,Bär,vogel,Rot
Langsam Fisch | Blume,Grün,Hai,langsam,fisch
Gruselig Katze | Traurig,Mond,Grün,gruselig,Baum
Langsam Mond | Mond,Klein,Vogel,langsam,mond
Wütend Blume | Schnell,wütend,blume,Kalt,Wolke
